date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:00	48826/48826	---M--	200	added ('OK')	image/jpeg	etag:%22beba-60fafe92d0880%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/tab/4.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/tab/4.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-product-detail.html)
13:15:01	47030/47030	---M--	200	added ('OK')	image/png	etag:%22b7b6-5f4f5ba944f80%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/qr.png	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/qr.png	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-invoice.html)
13:15:01	482/482	---M--	200	added ('OK')	image/png	etag:%221e2-5c4337b9fce00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/avatar/5.png	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/avatar/5.png	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-customers.html)
13:15:01	2331/2331	---M--	200	added ('OK')	image/png	etag:%2291b-5c4337b9fce00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/avatar/1.png	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/avatar/1.png	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-customers.html)
13:15:03	6279/6279	---M--	200	added ('OK')	image/png	etag:%221887-5fa2b0f9c6a00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/no-img-avatar.png	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/no-img-avatar.png	(from https://yashadmin.dexignzone.com/tailwind/demo/content-add.html)
13:15:03	526739/526739	---M--	200	added ('OK')	application/x-javascript	etag:%2280993-58dde996f0800%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/highlightjs/highlight.pack.min.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/highlightjs/highlight.pack.min.js	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-customers.html)
13:15:03	1606/1606	---M--	200	added ('OK')	application/x-javascript	etag:%22646-6116968b20780%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/js/dashboard/cms.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/js/dashboard/cms.js	(from https://yashadmin.dexignzone.com/tailwind/demo/content-add.html)
13:15:04	242/242	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202024%2020:15:11%20GMT	https://yashadmin.dexignzone.com/tailwind/demo/images/no-img-avatar.png	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/images/no-img-avatar.png	(from https://yashadmin.dexignzone.com/tailwind/demo/content-add.html)
13:15:05	1675/1675	---M--	200	added ('OK')	text/css	etag:%2268b-58dde996f0800%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/nestable2/css/jquery.nestable.min.css	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/nestable2/css/jquery.nestable.min.css	(from https://yashadmin.dexignzone.com/tailwind/demo/menu.html)
13:15:06	16117/16117	---M--	200	added ('OK')	application/x-javascript	etag:%223ef5-58dde996f0800%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/nestable2/js/jquery.nestable.min.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/nestable2/js/jquery.nestable.min.js	(from https://yashadmin.dexignzone.com/tailwind/demo/menu.html)
13:15:06	1456396/1456396	---M--	200	added ('OK')	application/x-javascript	etag:%2216390c-60f4fcad42e00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/ckeditor/ckeditor.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/ckeditor/ckeditor.js	(from https://yashadmin.dexignzone.com/tailwind/demo/content-add.html)
13:15:07	664/664	---M--	200	added ('OK')	application/x-javascript	etag:%22298-60faf446dbd80%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/nestable-init.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/nestable-init.js	(from https://yashadmin.dexignzone.com/tailwind/demo/menu.html)
13:15:08	242/242	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202024%2020:15:14%20GMT	https://yashadmin.dexignzone.com/tailwind/demo/images/no-img-avatar.png	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/images/no-img-avatar.png	(from https://yashadmin.dexignzone.com/tailwind/demo/add-email.html)
13:15:09	242/242	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202024%2020:15:15%20GMT	https://yashadmin.dexignzone.com/tailwind/demo/images/no-img-avatar.png	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/images/no-img-avatar.png	(from https://yashadmin.dexignzone.com/tailwind/demo/add-blog.html)
13:15:11	106207/106207	---M--	200	added ('OK')	application/x-javascript	etag:%2219edf-6116a67909c80%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/flot/jquery.flot.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/flot/jquery.flot.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-flot.html)
13:15:11	8307/8307	---M--	200	added ('OK')	application/x-javascript	etag:%222073-6116a6884c080%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/flot/jquery.flot.pie.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/flot/jquery.flot.pie.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-flot.html)
13:15:12	3381/3381	---M--	200	added ('OK')	application/x-javascript	etag:%22d35-6116a6a6d0880%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/flot/jquery.flot.resize.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/flot/jquery.flot.resize.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-flot.html)
13:15:12	1756/1756	---M--	200	added ('OK')	application/x-javascript	etag:%226dc-6116a6b242380%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/flot-spline/jquery.flot.spline.min.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/flot-spline/jquery.flot.spline.min.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-flot.html)
